,lag_month,percent_report_by_lag_month_select,cumulative_percent_reported_by_lag_month
0,0,0.8104728941432683,0.8104728941432683
1,1,0.14105156723963602,0.9515244613829044
2,2,0.021816909076767522,0.9733413704596718
3,3,0.008633429260325115,0.9819747997199969
4,4,0.005250058333981489,0.9872248580539784
5,5,0.004375048611651241,0.9915999066656297
6,6,0.0022166912965699624,0.9938165979621997
7,7,0.002450027222524695,0.9962666251847244
8,8,0.0005833398148868322,0.9968499649996112
9,9,0.0011666796297736643,0.9980166446293849
10,10,0.00011666796297736643,0.9981333125923623
11,11,0.0008166757408415651,0.9989499883332038
12,12,0.0010500116667962979,1.0
